Listing_ID,Neighbourhood,Latitude,Longitude,Room_Type,Property_Type,Date,Month,Season,Price_Per_Night_INR,Cleaning_Fee_INR,Availability_365,Minimum_Nights,Occupancy_Rate,Number_Of_Bookings,Average_Stay_Length,Revenue_Estimated_INR,Review_Count,Review_Score_Rating,Guest_Origin_Country,Event_Flag,Price_Band,Rating_Band,Occupancy_Band,Revenue_Per_Available_Day_INR
3,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-01-01,1,Winter,4523,255,158,2,0.24,7,3,31661,216,4.4,India,0,Premium (₹4K–₹7K),4.0–4.49,Low (≤25%),200.3860759493671
3,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-02-01,2,Winter,3675,255,158,2,0.76,22,3,80850,239,4.3,India,0,Mid-range (₹2K–₹4K),4.0–4.49,Very High (>75%),511.7088607594937
3,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-03-01,3,Spring,3803,255,158,2,0.47,15,5,57045,5,4.9,India,0,Mid-range (₹2K–₹4K),4.5–5.0,Moderate (26–50%),361.04430379746833
3,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-04-01,4,Spring,4029,255,158,2,0.46,14,2,56406,274,4.7,UK,0,Premium (₹4K–₹7K),4.5–5.0,Moderate (26–50%),357.0
3,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-05-01,5,Spring,3623,255,158,2,0.69,21,3,76083,174,4.2,India,0,Mid-range (₹2K–₹4K),4.0–4.49,High (51–75%),481.5379746835443
3,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-06-01,6,Summer,3539,255,158,2,0.48,14,2,49546,232,3.9,India,0,Mid-range (₹2K–₹4K),3.5–3.99,Moderate (26–50%),313.5822784810127
3,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-07-01,7,Monsoon,3302,255,158,2,0.58,18,3,59436,134,4.5,Netherlands,0,Mid-range (₹2K–₹4K),4.0–4.49,High (51–75%),376.17721518987344
3,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-08-01,8,Monsoon,3197,255,158,2,0.33,10,3,31970,259,4.3,UAE,0,Mid-range (₹2K–₹4K),4.0–4.49,Moderate (26–50%),202.34177215189874
3,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-09-01,9,Autumn,3536,255,158,2,0.42,13,4,45968,152,4.4,Australia,0,Mid-range (₹2K–₹4K),4.0–4.49,Moderate (26–50%),290.9367088607595
3,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-10-01,10,Autumn,3684,255,158,2,0.83,26,3,95784,101,4.6,India,0,Mid-range (₹2K–₹4K),4.5–5.0,Very High (>75%),606.2278481012659
3,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-11-01,11,Winter,3655,255,158,2,0.53,16,3,58480,271,3.7,UAE,0,Mid-range (₹2K–₹4K),3.5–3.99,High (51–75%),370.126582278481
3,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-12-01,12,Winter,4500,255,158,2,0.55,17,3,76500,250,5.0,India,0,Premium (₹4K–₹7K),4.5–5.0,High (51–75%),484.17721518987344
4,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-01-01,1,Winter,4080,345,328,1,0.42,13,5,53040,272,5.0,UK,0,Premium (₹4K–₹7K),4.5–5.0,Moderate (26–50%),161.70731707317074
4,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-02-01,2,Winter,3419,345,328,1,0.72,21,2,71799,281,4.1,India,0,Mid-range (₹2K–₹4K),4.0–4.49,High (51–75%),218.89939024390245
4,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-03-01,3,Spring,3875,345,328,1,0.39,12,3,46500,310,4.7,India,0,Mid-range (₹2K–₹4K),4.5–5.0,Moderate (26–50%),141.76829268292684
4,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-04-01,4,Spring,4033,345,328,1,0.45,14,2,56462,276,4.3,UK,0,Premium (₹4K–₹7K),4.0–4.49,Moderate (26–50%),172.140243902439
4,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-05-01,5,Spring,3288,345,328,1,0.52,16,3,52608,159,3.9,India,0,Mid-range (₹2K–₹4K),3.5–3.99,High (51–75%),160.390243902439
4,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-06-01,6,Summer,3282,345,328,1,0.44,13,3,42666,191,4.7,India,0,Mid-range (₹2K–₹4K),4.5–5.0,Moderate (26–50%),130.07926829268294
4,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-07-01,7,Monsoon,2759,345,328,1,0.83,26,3,71734,61,4.2,India,0,Mid-range (₹2K–₹4K),4.0–4.49,Very High (>75%),218.7012195121951
4,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-08-01,8,Monsoon,2878,345,328,1,0.72,22,1,63316,10,4.0,India,0,Mid-range (₹2K–₹4K),3.5–3.99,High (51–75%),193.03658536585365
4,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-09-01,9,Autumn,3314,345,328,1,0.8,24,2,79536,112,3.9,India,0,Mid-range (₹2K–₹4K),3.5–3.99,Very High (>75%),242.4878048780488
4,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-10-01,10,Autumn,3305,345,328,1,0.64,20,3,66100,30,4.8,India,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),201.52439024390245
4,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-11-01,11,Winter,3022,345,328,1,0.4,12,4,36264,36,4.7,India,0,Mid-range (₹2K–₹4K),4.5–5.0,Moderate (26–50%),110.5609756097561
4,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-12-01,12,Winter,4145,345,328,1,0.64,20,2,82900,248,4.6,India,0,Premium (₹4K–₹7K),4.5–5.0,High (51–75%),252.7439024390244
5,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-01-01,1,Winter,3411,334,128,1,0.44,14,3,47754,181,5.0,India,0,Mid-range (₹2K–₹4K),4.5–5.0,Moderate (26–50%),373.078125
5,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-02-01,2,Winter,2777,334,128,1,0.36,10,3,27770,344,4.8,India,0,Mid-range (₹2K–₹4K),4.5–5.0,Moderate (26–50%),216.953125
5,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-03-01,3,Spring,2757,334,128,1,0.66,20,3,55140,31,5.0,India,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),430.78125
5,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-04-01,4,Spring,2787,334,128,1,0.69,21,2,58527,55,4.7,India,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),457.2421875
5,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-05-01,5,Spring,2847,334,128,1,0.83,26,2,74022,229,4.4,India,0,Mid-range (₹2K–₹4K),4.0–4.49,Very High (>75%),578.296875
5,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-06-01,6,Summer,2533,334,128,1,0.41,12,2,30396,236,4.2,India,0,Mid-range (₹2K–₹4K),4.0–4.49,Moderate (26–50%),237.46875
5,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-07-01,7,Monsoon,2399,334,128,1,0.59,18,4,43182,226,4.6,Germany,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),337.359375
5,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-08-01,8,Monsoon,2579,334,128,1,0.54,17,4,43843,50,5.0,India,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),342.5234375
5,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-09-01,9,Autumn,2631,334,128,1,0.95,28,5,73668,7,4.8,Canada,0,Mid-range (₹2K–₹4K),4.5–5.0,Very High (>75%),575.53125
5,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-10-01,10,Autumn,2512,334,128,1,0.38,12,4,30144,121,4.7,India,0,Mid-range (₹2K–₹4K),4.5–5.0,Moderate (26–50%),235.5
5,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-11-01,11,Winter,2639,334,128,1,0.65,20,2,52780,205,4.7,UAE,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),412.34375
5,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-12-01,12,Winter,3339,334,128,1,0.42,13,2,43407,1,3.9,Netherlands,0,Mid-range (₹2K–₹4K),3.5–3.99,Moderate (26–50%),339.1171875
6,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-01-01,1,Winter,3747,428,329,2,0.38,12,2,44964,111,4.6,Canada,0,Mid-range (₹2K–₹4K),4.5–5.0,Moderate (26–50%),136.66869300911853
6,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-02-01,2,Winter,3041,428,329,2,0.44,13,3,39533,160,4.6,India,0,Mid-range (₹2K–₹4K),4.5–5.0,Moderate (26–50%),120.16109422492401
6,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-03-01,3,Spring,3271,428,329,2,0.4,12,3,39252,257,4.6,UAE,0,Mid-range (₹2K–₹4K),4.5–5.0,Moderate (26–50%),119.30699088145897
6,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-04-01,4,Spring,3372,428,329,2,0.73,22,3,74184,29,4.9,Canada,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),225.48328267477203
6,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-05-01,5,Spring,2689,428,329,2,0.43,13,1,34957,95,4.7,India,0,Mid-range (₹2K–₹4K),4.5–5.0,Moderate (26–50%),106.25227963525836
6,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-06-01,6,Summer,3066,428,329,2,0.65,20,1,61320,120,5.0,India,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),186.38297872340425
6,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-07-01,7,Monsoon,2781,428,329,2,0.74,23,4,63963,291,4.9,India,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),194.4164133738602
6,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-08-01,8,Monsoon,2797,428,329,2,0.52,16,3,44752,317,4.8,India,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),136.0243161094225
6,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-09-01,9,Autumn,2810,428,329,2,0.54,16,3,44960,289,4.3,India,0,Mid-range (₹2K–₹4K),4.0–4.49,High (51–75%),136.6565349544073
6,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-10-01,10,Autumn,2980,428,329,2,0.92,29,4,86420,104,3.8,India,0,Mid-range (₹2K–₹4K),3.5–3.99,Very High (>75%),262.67477203647417
6,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-11-01,11,Winter,3101,428,329,2,0.33,10,2,31010,67,4.3,India,0,Mid-range (₹2K–₹4K),4.0–4.49,Moderate (26–50%),94.25531914893617
6,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-12-01,12,Winter,3922,428,329,2,0.58,18,2,70596,161,4.1,UAE,0,Mid-range (₹2K–₹4K),4.0–4.49,High (51–75%),214.5775075987842
7,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-01-01,1,Winter,3155,401,189,3,0.63,20,2,63100,178,4.5,Singapore,0,Mid-range (₹2K–₹4K),4.0–4.49,High (51–75%),333.8624338624339
7,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-02-01,2,Winter,2511,401,189,3,0.92,27,2,67797,80,4.8,India,0,Mid-range (₹2K–₹4K),4.5–5.0,Very High (>75%),358.7142857142857
7,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-03-01,3,Spring,2500,401,189,3,0.63,20,3,50000,154,4.2,India,0,Mid-range (₹2K–₹4K),4.0–4.49,High (51–75%),264.55026455026456
7,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-04-01,4,Spring,3075,401,189,3,0.48,14,5,43050,334,4.5,India,0,Mid-range (₹2K–₹4K),4.0–4.49,Moderate (26–50%),227.77777777777777
7,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-05-01,5,Spring,2741,401,189,3,0.73,23,3,63043,283,4.0,India,0,Mid-range (₹2K–₹4K),3.5–3.99,High (51–75%),333.5608465608466
7,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-06-01,6,Summer,2575,401,189,3,0.53,16,3,41200,68,4.2,India,0,Mid-range (₹2K–₹4K),4.0–4.49,High (51–75%),217.989417989418
7,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-07-01,7,Monsoon,2729,401,189,3,0.66,20,4,54580,283,4.0,India,0,Mid-range (₹2K–₹4K),3.5–3.99,High (51–75%),288.78306878306876
7,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-08-01,8,Monsoon,2559,401,189,3,0.92,29,2,74211,107,4.9,USA,0,Mid-range (₹2K–₹4K),4.5–5.0,Very High (>75%),392.6507936507937
7,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-09-01,9,Autumn,2338,401,189,3,0.53,16,2,37408,324,5.0,Australia,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),197.92592592592592
7,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-10-01,10,Autumn,2500,401,189,3,0.67,21,3,52500,128,4.8,UAE,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),277.77777777777777
7,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-11-01,11,Winter,2456,401,189,3,0.59,18,1,44208,216,3.2,France,0,Mid-range (₹2K–₹4K),Below 3.5,High (51–75%),233.9047619047619
7,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-12-01,12,Winter,3097,401,189,3,0.56,17,1,52649,170,4.0,UK,0,Mid-range (₹2K–₹4K),3.5–3.99,High (51–75%),278.56613756613757
8,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-01-01,1,Winter,6734,85,137,1,0.55,17,4,114478,76,5.0,India,0,Premium (₹4K–₹7K),4.5–5.0,High (51–75%),835.6058394160584
8,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-02-01,2,Winter,5171,85,137,1,0.7,20,3,103420,75,4.5,India,0,Premium (₹4K–₹7K),4.0–4.49,High (51–75%),754.8905109489051
8,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-03-01,3,Spring,5807,85,137,1,0.6,19,1,110333,186,4.6,UAE,0,Premium (₹4K–₹7K),4.5–5.0,High (51–75%),805.3503649635037
8,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-04-01,4,Spring,5883,85,137,1,0.54,16,3,94128,20,4.3,UAE,0,Premium (₹4K–₹7K),4.0–4.49,High (51–75%),687.0656934306569
8,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-05-01,5,Spring,5480,85,137,1,0.63,20,2,109600,127,5.0,India,0,Premium (₹4K–₹7K),4.5–5.0,High (51–75%),800.0
8,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-06-01,6,Summer,5211,85,137,1,0.85,26,2,135486,286,3.7,Singapore,0,Premium (₹4K–₹7K),3.5–3.99,Very High (>75%),988.948905109489
8,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-07-01,7,Monsoon,4882,85,137,1,0.62,19,2,92758,317,4.6,USA,0,Premium (₹4K–₹7K),4.5–5.0,High (51–75%),677.0656934306569
8,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-08-01,8,Monsoon,4788,85,137,1,0.5,16,4,76608,121,4.3,Singapore,0,Premium (₹4K–₹7K),4.0–4.49,Moderate (26–50%),559.1824817518249
8,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-09-01,9,Autumn,5341,85,137,1,0.66,20,5,106820,90,4.6,Singapore,0,Premium (₹4K–₹7K),4.5–5.0,High (51–75%),779.7080291970802
8,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-10-01,10,Autumn,5320,85,137,1,0.66,20,1,106400,170,4.6,UK,0,Premium (₹4K–₹7K),4.5–5.0,High (51–75%),776.6423357664233
8,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-11-01,11,Winter,5620,85,137,1,0.62,19,3,106780,127,4.2,India,0,Premium (₹4K–₹7K),4.0–4.49,High (51–75%),779.4160583941606
8,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-12-01,12,Winter,6710,85,137,1,0.64,20,3,134200,55,4.7,India,1,Premium (₹4K–₹7K),4.5–5.0,High (51–75%),979.5620437956204
9,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-01-01,1,Winter,4597,317,194,1,0.51,16,3,73552,204,4.7,India,0,Premium (₹4K–₹7K),4.5–5.0,High (51–75%),379.1340206185567
9,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-02-01,2,Winter,3434,317,194,1,0.57,17,5,58378,142,4.9,India,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),300.91752577319585
9,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-03-01,3,Spring,3986,317,194,1,0.72,22,3,87692,347,5.0,Netherlands,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),452.02061855670104
9,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-04-01,4,Spring,3825,317,194,1,0.7,21,3,80325,14,4.4,India,0,Mid-range (₹2K–₹4K),4.0–4.49,High (51–75%),414.04639175257734
9,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-05-01,5,Spring,3538,317,194,1,0.58,18,5,63684,91,4.5,India,0,Mid-range (₹2K–₹4K),4.0–4.49,High (51–75%),328.2680412371134
9,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-06-01,6,Summer,3593,317,194,1,0.48,14,5,50302,19,5.0,India,0,Mid-range (₹2K–₹4K),4.5–5.0,Moderate (26–50%),259.2886597938144
9,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-07-01,7,Monsoon,2925,317,194,1,0.42,13,2,38025,160,5.0,India,0,Mid-range (₹2K–₹4K),4.5–5.0,Moderate (26–50%),196.00515463917526
9,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-08-01,8,Monsoon,3284,317,194,1,0.69,21,5,68964,59,4.8,India,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),355.4845360824742
9,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-09-01,9,Autumn,3472,317,194,1,0.47,14,3,48608,130,4.5,India,0,Mid-range (₹2K–₹4K),4.0–4.49,Moderate (26–50%),250.55670103092783
9,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-10-01,10,Autumn,3339,317,194,1,0.75,23,2,76797,266,4.4,UAE,0,Mid-range (₹2K–₹4K),4.0–4.49,High (51–75%),395.86082474226805
9,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-11-01,11,Winter,3309,317,194,1,0.55,16,3,52944,343,4.7,India,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),272.9072164948454
9,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-12-01,12,Winter,4230,317,194,1,0.48,15,2,63450,340,4.6,UAE,0,Premium (₹4K–₹7K),4.5–5.0,Moderate (26–50%),327.0618556701031
10,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-01-01,1,Winter,4647,223,247,5,0.59,18,3,83646,283,3.9,India,0,Premium (₹4K–₹7K),3.5–3.99,High (51–75%),338.64777327935224
10,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-02-01,2,Winter,3512,223,247,5,0.45,13,4,45656,346,4.4,USA,0,Mid-range (₹2K–₹4K),4.0–4.49,Moderate (26–50%),184.8421052631579
10,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-03-01,3,Spring,4234,223,247,5,0.78,24,2,101616,291,4.8,India,0,Premium (₹4K–₹7K),4.5–5.0,Very High (>75%),411.4008097165992
10,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-04-01,4,Spring,4141,223,247,5,0.55,16,3,66256,0,4.1,India,0,Premium (₹4K–₹7K),4.0–4.49,High (51–75%),268.2429149797571
10,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-05-01,5,Spring,3790,223,247,5,0.51,16,2,60640,296,4.6,India,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),245.50607287449392
10,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-06-01,6,Summer,3628,223,247,5,0.64,19,2,68932,226,5.0,India,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),279.0769230769231
10,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-07-01,7,Monsoon,3392,223,247,5,0.62,19,2,64448,242,4.8,Germany,0,Mid-range (₹2K–₹4K),4.5–5.0,High (51–75%),260.9230769230769
10,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-08-01,8,Monsoon,3333,223,247,5,0.59,18,5,59994,86,4.5,India,0,Mid-range (₹2K–₹4K),4.0–4.49,High (51–75%),242.8906882591093
10,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-09-01,9,Autumn,3812,223,247,5,0.44,13,2,49556,339,4.5,India,0,Mid-range (₹2K–₹4K),4.0–4.49,Moderate (26–50%),200.6315789473684
10,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-10-01,10,Autumn,3892,223,247,5,0.77,24,2,93408,120,4.9,India,0,Mid-range (₹2K–₹4K),4.5–5.0,Very High (>75%),378.17004048583
10,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-11-01,11,Winter,4223,223,247,5,0.44,13,2,54899,12,4.8,India,0,Premium (₹4K–₹7K),4.5–5.0,Moderate (26–50%),222.26315789473685
