listing_id,host_id,neighbourhood,latitude,longitude,room_type,property_type,date,month,season,price_per_night_inr,cleaning_fee_inr,availability_365,minimum_nights,occupancy_rate,number_of_bookings,average_stay_length,revenue_estimated_inr,review_count,review_scores_rating,guest_origin_country,event_flag
2,20458,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-12-01,12,Winter,2694,329,163,3,0.21,7,3,18858,219,4.8,UAE,0
3,38746,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-01-01,1,Winter,4523,255,158,2,0.24,7,3,31661,216,4.4,India,0
3,38746,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-02-01,2,Winter,3675,255,158,2,0.76,22,3,80850,239,4.3,India,0
3,38746,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-03-01,3,Spring,3803,255,158,2,0.47,15,5,57045,5,4.9,India,0
3,38746,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-04-01,4,Spring,4029,255,158,2,0.46,14,2,56406,274,4.7,UK,0
3,38746,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-05-01,5,Spring,3623,255,158,2,0.69,21,3,76083,174,4.2,India,0
3,38746,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-06-01,6,Summer,3539,255,158,2,0.48,14,2,49546,232,3.9,India,0
3,38746,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-07-01,7,Monsoon,3302,255,158,2,0.58,18,3,59436,134,4.5,Netherlands,0
3,38746,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-08-01,8,Monsoon,3197,255,158,2,0.33,10,3,31970,259,4.3,UAE,0
3,38746,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-09-01,9,Autumn,3536,255,158,2,0.42,13,4,45968,152,4.4,Australia,0
3,38746,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-10-01,10,Autumn,3684,255,158,2,0.83,26,3,95784,101,4.6,India,0
3,38746,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-11-01,11,Winter,3655,255,158,2,0.53,16,3,58480,271,3.7,UAE,0
3,38746,Jayanagar,12.903811,77.477273,Entire home/apt,Apartment,2024-12-01,12,Winter,4500,255,158,2,0.55,17,3,76500,250,5.0,India,0
4,50306,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-01-01,1,Winter,4080,345,328,1,0.42,13,5,53040,272,5.0,UK,0
4,50306,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-02-01,2,Winter,3419,345,328,1,0.72,21,2,71799,281,4.1,India,0
4,50306,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-03-01,3,Spring,3875,345,328,1,0.39,12,3,46500,310,4.7,India,0
4,50306,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-04-01,4,Spring,4033,345,328,1,0.45,14,2,56462,276,4.3,UK,0
4,50306,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-05-01,5,Spring,3288,345,328,1,0.52,16,3,52608,159,3.9,India,0
4,50306,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-06-01,6,Summer,3282,345,328,1,0.44,13,3,42666,191,4.7,India,0
4,50306,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-07-01,7,Monsoon,2759,345,328,1,0.83,26,3,71734,61,4.2,India,0
4,50306,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-08-01,8,Monsoon,2878,345,328,1,0.72,22,1,63316,10,4.0,India,0
4,50306,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-09-01,9,Autumn,3314,345,328,1,0.8,24,2,79536,112,3.9,India,0
4,50306,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-10-01,10,Autumn,3305,345,328,1,0.64,20,3,66100,30,4.8,India,0
4,50306,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-11-01,11,Winter,3022,345,328,1,0.4,12,4,36264,36,4.7,India,0
4,50306,Frazer Town,12.72317,77.713403,Private room,Apartment,2024-12-01,12,Winter,4145,345,328,1,0.64,20,2,82900,248,4.6,India,0
5,84847,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-01-01,1,Winter,3411,334,128,1,0.44,14,3,47754,181,5.0,India,0
5,84847,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-02-01,2,Winter,2777,334,128,1,0.36,10,3,27770,344,4.8,India,0
5,84847,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-03-01,3,Spring,2757,334,128,1,0.66,20,3,55140,31,5.0,India,0
5,84847,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-04-01,4,Spring,2787,334,128,1,0.69,21,2,58527,55,4.7,India,0
5,84847,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-05-01,5,Spring,2847,334,128,1,0.83,26,2,74022,229,4.4,India,0
5,84847,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-06-01,6,Summer,2533,334,128,1,0.41,12,2,30396,236,4.2,India,0
5,84847,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-07-01,7,Monsoon,2399,334,128,1,0.59,18,4,43182,226,4.6,Germany,0
5,84847,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-08-01,8,Monsoon,2579,334,128,1,0.54,17,4,43843,50,5.0,India,0
5,84847,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-09-01,9,Autumn,2631,334,128,1,0.95,28,5,73668,7,4.8,Canada,0
5,84847,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-10-01,10,Autumn,2512,334,128,1,0.38,12,4,30144,121,4.7,India,0
5,84847,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-11-01,11,Winter,2639,334,128,1,0.65,20,2,52780,205,4.7,UAE,0
5,84847,Ulsoor,12.889068,77.685386,Private room,Independent House,2024-12-01,12,Winter,3339,334,128,1,0.42,13,2,43407,1,3.9,Netherlands,0
6,69638,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-01-01,1,Winter,3747,428,329,2,0.38,12,2,44964,111,4.6,Canada,0
6,69638,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-02-01,2,Winter,3041,428,329,2,0.44,13,3,39533,160,4.6,India,0
6,69638,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-03-01,3,Spring,3271,428,329,2,0.4,12,3,39252,257,4.6,UAE,0
6,69638,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-04-01,4,Spring,3372,428,329,2,0.73,22,3,74184,29,4.9,Canada,0
6,69638,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-05-01,5,Spring,2689,428,329,2,0.43,13,1,34957,95,4.7,India,0
6,69638,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-06-01,6,Summer,3066,428,329,2,0.65,20,1,61320,120,5.0,India,0
6,69638,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-07-01,7,Monsoon,2781,428,329,2,0.74,23,4,63963,291,4.9,India,0
6,69638,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-08-01,8,Monsoon,2797,428,329,2,0.52,16,3,44752,317,4.8,India,0
6,69638,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-09-01,9,Autumn,2810,428,329,2,0.54,16,3,44960,289,4.3,India,0
6,69638,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-10-01,10,Autumn,2980,428,329,2,0.92,29,4,86420,104,3.8,India,0
6,69638,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-11-01,11,Winter,3101,428,329,2,0.33,10,2,31010,67,4.3,India,0
6,69638,Basavanagudi,12.869203,77.737195,Shared room,Studio,2024-12-01,12,Winter,3922,428,329,2,0.58,18,2,70596,161,4.1,UAE,0
7,11220,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-01-01,1,Winter,3155,401,189,3,0.63,20,2,63100,178,4.5,Singapore,0
7,11220,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-02-01,2,Winter,2511,401,189,3,0.92,27,2,67797,80,4.8,India,0
7,11220,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-03-01,3,Spring,2500,401,189,3,0.63,20,3,50000,154,4.2,India,0
7,11220,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-04-01,4,Spring,3075,401,189,3,0.48,14,5,43050,334,4.5,India,0
7,11220,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-05-01,5,Spring,2741,401,189,3,0.73,23,3,63043,283,4.0,India,0
7,11220,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-06-01,6,Summer,2575,401,189,3,0.53,16,3,41200,68,4.2,India,0
7,11220,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-07-01,7,Monsoon,2729,401,189,3,0.66,20,4,54580,283,4.0,India,0
7,11220,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-08-01,8,Monsoon,2559,401,189,3,0.92,29,2,74211,107,4.9,USA,0
7,11220,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-09-01,9,Autumn,2338,401,189,3,0.53,16,2,37408,324,5.0,Australia,0
7,11220,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-10-01,10,Autumn,2500,401,189,3,0.67,21,3,52500,128,4.8,UAE,0
7,11220,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-11-01,11,Winter,2456,401,189,3,0.59,18,1,44208,216,3.2,France,0
7,11220,Electronic City,12.948464,77.618898,Entire home/apt,Studio,2024-12-01,12,Winter,3097,401,189,3,0.56,17,1,52649,170,4.0,UK,0
8,44335,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-01-01,1,Winter,6734,85,137,1,0.55,17,4,114478,76,5.0,India,0
8,44335,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-02-01,2,Winter,5171,85,137,1,0.7,20,3,103420,75,4.5,India,0
8,44335,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-03-01,3,Spring,5807,85,137,1,0.6,19,1,110333,186,4.6,UAE,0
8,44335,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-04-01,4,Spring,5883,85,137,1,0.54,16,3,94128,20,4.3,UAE,0
8,44335,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-05-01,5,Spring,5480,85,137,1,0.63,20,2,109600,127,5.0,India,0
8,44335,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-06-01,6,Summer,5211,85,137,1,0.85,26,2,135486,286,3.7,Singapore,0
8,44335,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-07-01,7,Monsoon,4882,85,137,1,0.62,19,2,92758,317,4.6,USA,0
8,44335,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-08-01,8,Monsoon,4788,85,137,1,0.5,16,4,76608,121,4.3,Singapore,0
8,44335,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-09-01,9,Autumn,5341,85,137,1,0.66,20,5,106820,90,4.6,Singapore,0
8,44335,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-10-01,10,Autumn,5320,85,137,1,0.66,20,1,106400,170,4.6,UK,0
8,44335,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-11-01,11,Winter,5620,85,137,1,0.62,19,3,106780,127,4.2,India,0
8,44335,HSR Layout,12.996492,77.615504,Entire home/apt,Apartment,2024-12-01,12,Winter,6710,85,137,1,0.64,20,3,134200,55,4.7,India,1
9,71694,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-01-01,1,Winter,4597,317,194,1,0.51,16,3,73552,204,4.7,India,0
9,71694,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-02-01,2,Winter,3434,317,194,1,0.57,17,5,58378,142,4.9,India,0
9,71694,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-03-01,3,Spring,3986,317,194,1,0.72,22,3,87692,347,5.0,Netherlands,0
9,71694,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-04-01,4,Spring,3825,317,194,1,0.7,21,3,80325,14,4.4,India,0
9,71694,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-05-01,5,Spring,3538,317,194,1,0.58,18,5,63684,91,4.5,India,0
9,71694,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-06-01,6,Summer,3593,317,194,1,0.48,14,5,50302,19,5.0,India,0
9,71694,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-07-01,7,Monsoon,2925,317,194,1,0.42,13,2,38025,160,5.0,India,0
9,71694,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-08-01,8,Monsoon,3284,317,194,1,0.69,21,5,68964,59,4.8,India,0
9,71694,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-09-01,9,Autumn,3472,317,194,1,0.47,14,3,48608,130,4.5,India,0
9,71694,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-10-01,10,Autumn,3339,317,194,1,0.75,23,2,76797,266,4.4,UAE,0
9,71694,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-11-01,11,Winter,3309,317,194,1,0.55,16,3,52944,343,4.7,India,0
9,71694,Frazer Town,12.779829,77.725536,Entire home/apt,Independent House,2024-12-01,12,Winter,4230,317,194,1,0.48,15,2,63450,340,4.6,UAE,0
10,96951,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-01-01,1,Winter,4647,223,247,5,0.59,18,3,83646,283,3.9,India,0
10,96951,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-02-01,2,Winter,3512,223,247,5,0.45,13,4,45656,346,4.4,USA,0
10,96951,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-03-01,3,Spring,4234,223,247,5,0.78,24,2,101616,291,4.8,India,0
10,96951,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-04-01,4,Spring,4141,223,247,5,0.55,16,3,66256,0,4.1,India,0
10,96951,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-05-01,5,Spring,3790,223,247,5,0.51,16,2,60640,296,4.6,India,0
10,96951,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-06-01,6,Summer,3628,223,247,5,0.64,19,2,68932,226,5.0,India,0
10,96951,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-07-01,7,Monsoon,3392,223,247,5,0.62,19,2,64448,242,4.8,Germany,0
10,96951,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-08-01,8,Monsoon,3333,223,247,5,0.59,18,5,59994,86,4.5,India,0
10,96951,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-09-01,9,Autumn,3812,223,247,5,0.44,13,2,49556,339,4.5,India,0
10,96951,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-10-01,10,Autumn,3892,223,247,5,0.77,24,2,93408,120,4.9,India,0
10,96951,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-11-01,11,Winter,4223,223,247,5,0.44,13,2,54899,12,4.8,India,0
10,96951,Whitefield,12.987902,77.540097,Entire home/apt,Serviced Apartment,2024-12-01,12,Winter,4777,223,247,5,0.89,28,5,133756,312,4.2,Australia,1
11,64321,Ulsoor,12.777774,77.658906,Entire home/apt,Independent House,2024-01-01,1,Winter,2691,210,155,1,0.46,14,4,37674,54,4.2,UK,0
11,64321,Ulsoor,12.777774,77.658906,Entire home/apt,Independent House,2024-02-01,2,Winter,2522,210,155,1,0.59,17,4,42874,265,5.0,India,0
11,64321,Ulsoor,12.777774,77.658906,Entire home/apt,Independent House,2024-03-01,3,Spring,2931,210,155,1,0.46,14,3,41034,62,4.1,India,0
11,64321,Ulsoor,12.777774,77.658906,Entire home/apt,Independent House,2024-04-01,4,Spring,2839,210,155,1,0.34,10,4,28390,341,5.0,India,0
11,64321,Ulsoor,12.777774,77.658906,Entire home/apt,Independent House,2024-05-01,5,Spring,2727,210,155,1,0.47,15,3,40905,162,3.8,Canada,0
11,64321,Ulsoor,12.777774,77.658906,Entire home/apt,Independent House,2024-06-01,6,Summer,2762,210,155,1,0.53,16,4,44192,313,5.0,Germany,0
11,64321,Ulsoor,12.777774,77.658906,Entire home/apt,Independent House,2024-07-01,7,Monsoon,1924,210,155,1,0.45,14,4,26936,218,4.5,France,0
11,64321,Ulsoor,12.777774,77.658906,Entire home/apt,Independent House,2024-08-01,8,Monsoon,2251,210,155,1,0.48,15,3,33765,81,4.7,USA,0
11,64321,Ulsoor,12.777774,77.658906,Entire home/apt,Independent House,2024-09-01,9,Autumn,2279,210,155,1,0.52,16,2,36464,132,4.5,UK,0
11,64321,Ulsoor,12.777774,77.658906,Entire home/apt,Independent House,2024-10-01,10,Autumn,2594,210,155,1,0.65,20,4,51880,141,4.1,UK,0
11,64321,Ulsoor,12.777774,77.658906,Entire home/apt,Independent House,2024-11-01,11,Winter,2186,210,155,1,0.73,22,3,48092,140,4.6,India,0
11,64321,Ulsoor,12.777774,77.658906,Entire home/apt,Independent House,2024-12-01,12,Winter,2966,210,155,1,0.78,24,3,71184,120,4.5,India,0
12,80798,MG Road,12.75535,77.519378,Entire home/apt,Independent House,2024-01-01,1,Winter,6555,310,112,5,0.83,26,2,170430,277,4.4,India,1
12,80798,MG Road,12.75535,77.519378,Entire home/apt,Independent House,2024-02-01,2,Winter,5109,310,112,5,0.67,19,4,97071,199,5.0,UAE,0
12,80798,MG Road,12.75535,77.519378,Entire home/apt,Independent House,2024-03-01,3,Spring,5214,310,112,5,0.67,21,3,109494,10,4.9,Australia,0
12,80798,MG Road,12.75535,77.519378,Entire home/apt,Independent House,2024-04-01,4,Spring,5055,310,112,5,0.39,12,3,60660,194,3.7,India,0
12,80798,MG Road,12.75535,77.519378,Entire home/apt,Independent House,2024-05-01,5,Spring,4862,310,112,5,0.68,21,4,102102,152,5.0,UK,0
12,80798,MG Road,12.75535,77.519378,Entire home/apt,Independent House,2024-06-01,6,Summer,4929,310,112,5,0.82,25,4,123225,214,3.9,India,0
12,80798,MG Road,12.75535,77.519378,Entire home/apt,Independent House,2024-07-01,7,Monsoon,4083,310,112,5,0.56,17,3,69411,308,4.7,UAE,0
12,80798,MG Road,12.75535,77.519378,Entire home/apt,Independent House,2024-08-01,8,Monsoon,4417,310,112,5,0.26,8,2,35336,139,4.5,India,0
12,80798,MG Road,12.75535,77.519378,Entire home/apt,Independent House,2024-09-01,9,Autumn,4655,310,112,5,0.67,20,1,93100,172,4.6,India,0
12,80798,MG Road,12.75535,77.519378,Entire home/apt,Independent House,2024-10-01,10,Autumn,4728,310,112,5,0.49,15,3,70920,84,4.1,Australia,0
12,80798,MG Road,12.75535,77.519378,Entire home/apt,Independent House,2024-11-01,11,Winter,4903,310,112,5,0.71,21,5,102963,273,4.1,India,0
12,80798,MG Road,12.75535,77.519378,Entire home/apt,Independent House,2024-12-01,12,Winter,6243,310,112,5,0.49,15,2,93645,288,4.2,India,0
13,66179,Jayanagar,13.046741,77.504519,Entire home/apt,Villa,2024-01-01,1,Winter,4103,144,188,5,0.36,11,2,45133,194,5.0,India,0
13,66179,Jayanagar,13.046741,77.504519,Entire home/apt,Villa,2024-02-01,2,Winter,3378,144,188,5,0.44,13,2,43914,41,4.6,India,0
13,66179,Jayanagar,13.046741,77.504519,Entire home/apt,Villa,2024-03-01,3,Spring,3686,144,188,5,0.51,16,3,58976,26,4.7,Netherlands,0
13,66179,Jayanagar,13.046741,77.504519,Entire home/apt,Villa,2024-04-01,4,Spring,3859,144,188,5,0.46,14,2,54026,332,4.3,India,0
13,66179,Jayanagar,13.046741,77.504519,Entire home/apt,Villa,2024-05-01,5,Spring,3316,144,188,5,0.2,6,5,19896,20,3.9,UK,0
13,66179,Jayanagar,13.046741,77.504519,Entire home/apt,Villa,2024-06-01,6,Summer,3644,144,188,5,0.79,24,4,87456,102,4.4,France,0
13,66179,Jayanagar,13.046741,77.504519,Entire home/apt,Villa,2024-07-01,7,Monsoon,3148,144,188,5,0.59,18,3,56664,122,5.0,India,0
13,66179,Jayanagar,13.046741,77.504519,Entire home/apt,Villa,2024-08-01,8,Monsoon,3256,144,188,5,0.52,16,3,52096,288,4.1,Canada,0
13,66179,Jayanagar,13.046741,77.504519,Entire home/apt,Villa,2024-09-01,9,Autumn,3050,144,188,5,0.57,17,2,51850,131,4.2,UK,0
13,66179,Jayanagar,13.046741,77.504519,Entire home/apt,Villa,2024-10-01,10,Autumn,3087,144,188,5,0.45,14,2,43218,310,4.1,Canada,0
13,66179,Jayanagar,13.046741,77.504519,Entire home/apt,Villa,2024-11-01,11,Winter,3708,144,188,5,0.68,20,3,74160,83,4.5,Canada,0
13,66179,Jayanagar,13.046741,77.504519,Entire home/apt,Villa,2024-12-01,12,Winter,4508,144,188,5,0.55,17,2,76636,13,4.2,UAE,0
14,59192,Malleshwaram,13.076588,77.509499,Entire home/apt,Independent House,2024-01-01,1,Winter,6451,380,132,3,0.5,16,4,103216,307,4.1,Germany,0
14,59192,Malleshwaram,13.076588,77.509499,Entire home/apt,Independent House,2024-02-01,2,Winter,5051,380,132,3,0.67,19,3,95969,21,5.0,India,0
14,59192,Malleshwaram,13.076588,77.509499,Entire home/apt,Independent House,2024-03-01,3,Spring,5580,380,132,3,0.61,19,2,106020,189,4.2,India,0
14,59192,Malleshwaram,13.076588,77.509499,Entire home/apt,Independent House,2024-04-01,4,Spring,5762,380,132,3,0.44,13,3,74906,6,4.2,Australia,0
14,59192,Malleshwaram,13.076588,77.509499,Entire home/apt,Independent House,2024-05-01,5,Spring,5336,380,132,3,0.4,12,4,64032,54,4.6,India,0
14,59192,Malleshwaram,13.076588,77.509499,Entire home/apt,Independent House,2024-06-01,6,Summer,5317,380,132,3,0.49,15,2,79755,235,4.1,USA,0
14,59192,Malleshwaram,13.076588,77.509499,Entire home/apt,Independent House,2024-07-01,7,Monsoon,4679,380,132,3,0.64,20,2,93580,267,4.7,Canada,0
14,59192,Malleshwaram,13.076588,77.509499,Entire home/apt,Independent House,2024-08-01,8,Monsoon,4599,380,132,3,0.54,17,2,78183,275,4.8,UK,0
14,59192,Malleshwaram,13.076588,77.509499,Entire home/apt,Independent House,2024-09-01,9,Autumn,4994,380,132,3,0.61,18,2,89892,303,4.2,India,0
14,59192,Malleshwaram,13.076588,77.509499,Entire home/apt,Independent House,2024-10-01,10,Autumn,5441,380,132,3,0.41,13,4,70733,44,3.8,India,0
14,59192,Malleshwaram,13.076588,77.509499,Entire home/apt,Independent House,2024-11-01,11,Winter,5002,380,132,3,0.54,16,3,80032,291,4.6,India,0
14,59192,Malleshwaram,13.076588,77.509499,Entire home/apt,Independent House,2024-12-01,12,Winter,6478,380,132,3,0.62,19,2,123082,14,3.8,India,0
15,73904,Hebbal,12.84193,77.527506,Entire home/apt,Studio,2024-01-01,1,Winter,4145,118,221,1,0.52,16,3,66320,97,4.2,India,0
15,73904,Hebbal,12.84193,77.527506,Entire home/apt,Studio,2024-02-01,2,Winter,3344,118,221,1,0.67,19,2,63536,123,4.3,India,0
15,73904,Hebbal,12.84193,77.527506,Entire home/apt,Studio,2024-03-01,3,Spring,3929,118,221,1,0.34,11,3,43219,251,4.7,India,0
15,73904,Hebbal,12.84193,77.527506,Entire home/apt,Studio,2024-04-01,4,Spring,4050,118,221,1,0.14,4,1,16200,150,4.2,India,0
15,73904,Hebbal,12.84193,77.527506,Entire home/apt,Studio,2024-05-01,5,Spring,3535,118,221,1,0.48,15,3,53025,156,4.6,India,0
15,73904,Hebbal,12.84193,77.527506,Entire home/apt,Studio,2024-06-01,6,Summer,3300,118,221,1,0.53,16,2,52800,283,4.4,India,0
15,73904,Hebbal,12.84193,77.527506,Entire home/apt,Studio,2024-07-01,7,Monsoon,3311,118,221,1,0.55,17,2,56287,281,4.6,India,0
